ASV_ID	Mean.blank	All.groups	Group1	taxonomy
23db81f4dd748e4e944d961d0948cb84	2.36690894376405	Totally.removed	Totally.removed	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Rhodospirillales; D_4__AEGEAN-169 marine group
23e48d7e218dff2f9540f2e43c4f2e62	4.73381788752811	Totally.removed	Totally.removed	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Cytophagales; D_4__Cyclobacteriaceae; D_5__uncultured
24c46eae86cbaf3df9b7803bee23f55b	12.9704890698707	Totally.removed	Totally.removed	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Pseudomonadales; D_4__Moraxellaceae; D_5__Acinetobacter; D_6__Acinetobacter ursingii
252d85ceb27493df7b1d67d675e0a257	85.9536887615313	Totally.removed	Totally.removed	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Flavobacteriales; D_4__Flavobacteriaceae; D_5__Ulvibacter; D_6__uncultured bacterium
256f793b8d525fc55c30f4871c24541e	1.97242411980338	Totally.removed	Totally.removed	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Puniceispirillales; D_4__SAR116 clade; D_5__Candidatus Puniceispirillum; D_6__uncultured bacterium
258ba8199894ac4428b455c4b3212ea3	60.5663526492475	Totally.removed	Totally.removed	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Porphyromonadaceae; D_5__Porphyromonas
269d0ca293b271dcedb70d322740d4c5	0.197242411980338	Totally.removed	Totally.removed	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Flavobacteriales; D_4__Flavobacteriaceae
27a42ceb61d3254321f54f243d0f3e8b	117.125557488992	Totally.removed	Totally.removed	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Pseudomonadales; D_4__Pseudomonadaceae; D_5__Pseudomonas
2910134fa5d6e5e596436d428a17d672	12.5255022494517	Totally.removed	Totally.removed	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Betaproteobacteriales; D_4__Burkholderiaceae; D_5__Tepidimonas
2ae493653507cdc230e62df478c70615	4.73381788752811	Totally.removed	Totally.removed	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Rhizobiales; D_4__Rhizobiaceae; D_5__Pseudahrensia
2bcf333497fe0961c0c29a03bde0da19	0.591727235941014	Totally.removed	Totally.removed	D_0__Bacteria; D_1__Actinobacteria; D_2__Acidimicrobiia; D_3__Microtrichales; D_4__Microtrichaceae; D_5__Sva0996 marine group; D_6__uncultured bacterium
2c3a518d812881245ca7208117b8de8d	27.4896932525618	Totally.removed	Totally.removed	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Pseudomonadales; D_4__Pseudomonadaceae; D_5__Pseudomonas
2defbdb9351f7eb4bb93a0d057bce6bb	5.91727235941014	Totally.removed	Totally.removed	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Chitinophagales; D_4__Saprospiraceae; D_5__uncultured
2e7f71d2965a3e1f200204032ebd86df	50.8885422909272	Totally.removed	Totally.removed	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Flavobacteriales; D_4__Flavobacteriaceae; D_5__Dokdonia
2e9ab7e1545b64b30aae689ab63a9929	18.1974025756395	Totally.removed	Totally.removed	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Sneathiellales; D_4__Sneathiellaceae; D_5__Sneathiella
2f572245aca11efa653a088c2779975f	0.394484823960676	Totally.removed	Totally.removed	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Ga0077536; Ambiguous_taxa; Ambiguous_taxa; Ambiguous_taxa
302670031271fa7d4417797be0d7ccf8	1.97242411980338	Totally.removed	Totally.removed	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Flavobacteriales; D_4__Flavobacteriaceae; D_5__NS5 marine group
30c3be7ac73b2f1353c52c8210666f26	6.60762080134132	Totally.removed	Totally.removed	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__SAR11 clade; D_4__Clade I; D_5__Clade Ia
3162ca6d8c785513e545b755e6f3b40b	72.9333042373137	Totally.removed	Totally.removed	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Alteromonadales; D_4__Shewanellaceae; D_5__Shewanella
316fb4c06a2f1c8b76c92778e1923fb6	6.31175718337081	Totally.removed	Totally.removed	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Sphingomonadales; D_4__Sphingomonadaceae; D_5__Erythrobacter
3516e45a5305455281a3188a517246f1	5.52278753544946	Totally.removed	Totally.removed	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Parvibaculales; D_4__PS1 clade; D_5__uncultured bacterium; D_6__uncultured bacterium
354fc075bf100ee179cf5d34aec6a76c	2.95863617970507	Totally.removed	Totally.removed	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Rhodobacterales; D_4__Rhodobacteraceae; D_5__uncultured
366fb5329706cd6ba2569406a9b90bd0	13.1166203966925	Totally.removed	Totally.removed	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Cytophagales; D_4__Cyclobacteriaceae; D_5__Reichenbachiella; D_6__uncultured Flammeovirgaceae bacterium
3695eb3860aa579b38a1abf8dbbd24a8	7.00210562530199	Totally.removed	Totally.removed	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria
394e85f203fa1ae1e79b233e00ecb77c	39.3660568715383	Totally.removed	Totally.removed	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Alteromonadales; D_4__Marinobacteraceae; D_5__Marinobacter
396f1e1f9113f3b237796fc7b1ef0336	401.035804385173	Totally.removed	Totally.removed	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Betaproteobacteriales; D_4__Burkholderiaceae; D_5__Ralstonia
399a4d20b564a65023a151bbcc027f78	2.07104532579355	Totally.removed	Totally.removed	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Flavobacteriales; D_4__Cryomorphaceae; D_5__uncultured; Ambiguous_taxa
