PWY-5419,256933.02550000002
PWY490-3,255221.00569999998
PWY-5861,245725.49740000002
P562-PWY,230414.762
PWY-5910,222389.59660000002
ASPASN-PWY,208110.9828
PWY-5941,191928.1537
PWY0-321,187813.7762
PWY-7371,175242.30800000005
PWY-7374,174680.88319999998
PWY-5845,174333.06359999996
ARGORNPROST-PWY,173419.946
PWY-922,165501.71740000005
PWY-1861,163922.2273
PWY0-845,162480.0154
PWY-5863,150165.7384
PWY-5531,146117.99409999998
PWY-7159,146117.99409999998
PWY-7347,145458.6999
PWY-5304,143022.6
PWY-7315,141281.6609
PWY-6071,140278.133
PWY0-1415,136775.2395
KDO-NAGLIPASYN-PWY,134531.63820000002
PWY-5837,134394.19369999997
PWY-5840,130412.42729999998
PWY-5850,126616.25399999999
PWY-5896,126616.25399999999
DENITRIFICATION-PWY,123456.66950000002
RUMP-PWY,122195.89830000002
P124-PWY,122019.03189999997
PWY-5862,121227.8262
PWY-5181,113941.24680000001
PWY-6396,112140.632
PWY-6581,101477.61040000002
CATECHOL-ORTHO-CLEAVAGE-PWY,100898.13869999998
PWY-7046,98193.31440000002
PWY-4722,97369.0395
PWY-5529,95744.14689999999
P621-PWY,95396.12410000002
PWY-5655,94624.96620000001
PWY-6588,92559.31240000002
PWY-6876,92464.95130000002
P261-PWY,91028.8373
PWY-5860,88039.7739
P381-PWY,86644.33540000003
PWY-6182,82496.3381
METHYLGALLATE-DEGRADATION-PWY,78211.8669
PWY-6749,74540.51470000001
PWY-7377,73035.6893
PWY-5417,72630.13560000001
PWY-5431,72630.13560000001
PWY-6107,71932.0782
PWY-5420,70176.4431
P125-PWY,65931.3053
ALL-CHORISMATE-PWY,65405.141899999995
GALLATE-DEGRADATION-I-PWY,64747.604
GALLATE-DEGRADATION-II-PWY,64747.604
PWY-6185,64025.603299999995
PWY-5182,63941.182100000005
PWY-5180,63941.182100000005
CHLOROPHYLL-SYN,56603.86649999999
PWY-5415,54548.9002
P122-PWY,52638.8722
PWY-7090,50225.1866
PWY-6565,47477.9238
PWY-6590,47291.47600000001
P281-PWY,46923.23160000001
CENTFERM-PWY,37366.766899999995
PWY-6906,31136.122700000004
PWY-6992,29168.909300000003
TEICHOICACID-PWY,28907.666900000004
KETOGLUCONMET-PWY,28444.0783
PWY-7003,27496.1671
PWY-6263,23838.4353
PWY-6505,23253.336699999996
PWY-6478,23055.406
PWY-6944,23045.9182
PWY-5705,22125.973800000003
PWY-6728,22052.5748
NAD-BIOSYNTHESIS-II,21053.489999999998
GLUCARDEG-PWY,20697.953500000003
AEROBACTINSYN-PWY,20090.081199999993
P461-PWY,18329.5897
PWY-6339,17584.0871
ENTBACSYN-PWY,17499.1756
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY,16010.8859
GLUCARGALACTSUPER-PWY,15702.3261
GALACTARDEG-PWY,15702.3261
PWY-7456,13457.2262
P184-PWY,13243.1238
P441-PWY,12890.086899999998
CODH-PWY,12516.842500000002
PWY-7098,12403.4025
VALDEG-PWY,11841.7696
LIPASYN-PWY,11486.957999999999
PWY-6338,11222.856899999999
PWY-7097,11222.856899999999
PWY0-1277,10580.328
METH-ACETATE-PWY,10048.760900000001
PWY-6210,9723.786900000001
METHGLYUT-PWY,8722.4803
PWY-5677,7944.8565
PWY-3941,7479.923100000001
PWY-5266,7461.7483999999995
PWY-5273,7461.7483999999995
PWY-7391,6338.089100000001
FUCCAT-PWY,5379.9345
PWY-7616,4844.5557
PWY-6471,4235.891299999999
GLCMANNANAUT-PWY,4082.8003999999996
PWY-5430,4051.2424
PWY-6690,3871.7504
HCAMHPDEG-PWY,3871.7504
PWY-5198,3386.6481000000003
HEXITOLDEGSUPER-PWY,3380.4780000000005
PWY-7373,2976.3187999999996
PWY-5178,2687.7254000000003
PWY-3801,2523.0809999999997
PWY-5265,2492.1265000000003
RHAMCAT-PWY,2402.9311000000002
PWY-5183,2373.9055
PWY-7295,2354.0135
P162-PWY,2116.0181
PWY1G-0,1932.9586
PWY-7255,1887.6946999999998
PWY-5507,1760.6577
PWY-2941,1719.9544000000003
PWY-5177,1106.0982
PWY-6383,1101.0710000000001
LACTOSECAT-PWY,683.896
PWY-1882,659.7626
PWY-622,534.1348
P163-PWY,527.947
DHGLUCONATE-PYR-CAT-PWY,519.9525
PWY-7209,512.9127000000001
FUC-RHAMCAT-PWY,496.0899
ECASYN-PWY,405.52639999999997
PWY-6572,318.83889999999997
PWY-6731,279.3339
PWY-7024,275.3129
PWY-7210,242.571
PWY-5744,235.67479999999998
PWY-5005,222.21799999999996
CENTBENZCOA-PWY,211.0
PWY0-1338,202.9777
PWY-5743,190.70530000000002
PWY-6957,188.52089999999998
GLYCOL-GLYOXDEG-PWY,173.61239999999998
GOLPDLCAT-PWY,148.72570000000002
ORNARGDEG-PWY,147.7638
ARGDEG-PWY,147.7638
PWY-1361,133.4486
PWY-5179,111.7242
PWY-7446,107.3942
PWY-7527,94.5107
PWY-5392,90.73150000000001
PWY-7084,74.9587
PWY-6174,64.3891
PWY-1501,59.0423
PWY-4361,56.8358
PWY-6470,52.028999999999996
PWY-7198,47.829800000000006
PWY-5088,34.3031
PWY-6660,33.4477
PWY-7185,26.0386
PWY-6397,24.479
PWY-1422,22.0217
P241-PWY,15.5724
BENZCOA-PWY,9.319
PWY-7398,6.877
PWY-5184,6.713
PWY-7031,4.3845
PWY-7013,3.1999
PWY5F9-12,2.6468
