	W	Reject null hypothesis
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Actibacter	33	False
Bacteria;Proteobacteria;Gammaproteobacteria;Run-SP154;Run-SP154;Run-SP154	33	False
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingorhabdus	33	False
Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methylocaldum	33	False
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia	33	False
Bacteria;Bacteroidota;Kapabacteria;Kapabacteriales;Kapabacteriales;Kapabacteriales	32	False
Bacteria;Proteobacteria;Gammaproteobacteria;OM182_clade;OM182_clade;OM182_clade	32	False
Bacteria;Proteobacteria;Gammaproteobacteria;Granulosicoccales;Granulosicoccaceae;Granulosicoccus	32	False
Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Blastocatella	32	False
Bacteria;Proteobacteria;Alphaproteobacteria;Kordiimonadales;uncultured;uncultured	32	False
Bacteria;Spirochaetota;Leptospirae;Leptospirales;Leptospiraceae;uncultured	32	False
Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Corallococcus	32	False
Bacteria;WPS-2;WPS-2;WPS-2;WPS-2;WPS-2	32	False
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;Candidatus_Megaira	32	False
Bacteria;Firmicutes;Bacilli;Mycoplasmatales;Mycoplasmataceae;Candidatus_Bacilloplasma	31	False
Bacteria;Patescibacteria;Gracilibacteria;Gracilibacteria;Gracilibacteria;Gracilibacteria	31	False
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas	31	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;SB-5;SB-5	31	False
Bacteria;Bdellovibrionota;Oligoflexia;Oligoflexales;uncultured;uncultured	31	False
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfobacteraceae;Desulfoconvexum	31	False
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Nitrincolaceae;uncultured	31	False
Bacteria;Proteobacteria;Gammaproteobacteria;EC3;EC3;EC3	31	False
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriales_Incertae_Sedis;Raoultibacter	31	False
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;uncultured	31	False
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Candidatus_Thiobios	31	False
Bacteria;Proteobacteria;Gammaproteobacteria;B2M28;B2M28;B2M28	30	False
Bacteria;FW113;FW113;FW113;FW113;FW113	30	False
Bacteria;Acidobacteriota;Subgroup_22;Subgroup_22;Subgroup_22;Subgroup_22	29	False
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Alcaligenaceae;__	29	False
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Methylophilaceae;__	29	False
Bacteria;Proteobacteria;Alphaproteobacteria;Micavibrionales;Micavibrionaceae;uncultured	29	False
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia	29	False
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Solobacterium	29	False
Bacteria;Firmicutes;Clostridia;Monoglobales;Monoglobaceae;Monoglobus	29	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculaceae	29	False
Bacteria;Proteobacteria;Gammaproteobacteria;R7C24;R7C24;R7C24	29	False
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;__	29	False
Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria_Incertae_Sedis;Unknown_Family;uncultured	28	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Fermentimonas	28	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcus	28	False
Bacteria;Calditrichota;Calditrichia;Calditrichales;Calditrichaceae;Calditrichaceae	27	False
Bacteria;Bacteroidota;Bacteroidia;__;__;__	27	False
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Aquimarina	27	False
Bacteria;Campilobacterota;Campylobacteria;Campylobacterales;Sulfurovaceae;Sulfurovum	27	False
Bacteria;Firmicutes;Clostridia;Peptococcales;Peptococcaceae;Desulfonispora	27	False
