	W	Reject null hypothesis
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;__	13	False
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae	13	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae	13	False
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermacoccaceae	13	False
Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae	13	False
Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae	13	False
Bacteria;Actinobacteriota;Acidimicrobiia;IMCC26256;IMCC26256	13	False
Bacteria;Firmicutes;Clostridia;Peptococcales;Peptococcaceae	13	False
Bacteria;Actinobacteriota;Actinobacteria;Streptosporangiales;Streptosporangiaceae	13	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium]_coprostanoligenes_group	13	False
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae	12	False
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Nakamurellaceae	12	False
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae	12	False
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae	12	False
Bacteria;Nitrospirota;Nitrospiria;Nitrospirales;Nitrospiraceae	12	False
Bacteria;Firmicutes;Bacilli;Brevibacillales;Brevibacillaceae	12	False
Bacteria;Proteobacteria;Gammaproteobacteria;Steroidobacterales;Steroidobacteraceae	12	False
Bacteria;Myxococcota;Polyangia;Haliangiales;Haliangiaceae	12	False
Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae	12	False
Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae	12	False
Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae	11	False
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae	11	False
Bacteria;Actinobacteriota;Thermoleophilia;Gaiellales;uncultured	11	False
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae	11	False
Bacteria;Proteobacteria;Gammaproteobacteria;__;__	11	False
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Stappiaceae	11	False
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales_Incertae_Sedis	11	False
Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Chloroplast	11	False
Bacteria;Firmicutes;Bacilli;Thermoactinomycetales;Thermoactinomycetaceae	10	False
Bacteria;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae	10	False
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae	10	False
Bacteria;Actinobacteriota;Acidimicrobiia;Actinomarinales;uncultured	10	False
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcales-Tissierellales	10	False
Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae	10	False
Bacteria;Actinobacteriota;Actinobacteria;Streptomycetales;Streptomycetaceae	9	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae	9	False
Bacteria;Actinobacteriota;Thermoleophilia;Gaiellales;Gaiellaceae	9	False
Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Nocardioidaceae	9	False
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae	9	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae	9	False
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae	9	False
