Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	01d	01d	01d	01d	01d	02d	02d	02d	02d	02d	05d	05d	05d	05d	05d	08d	08d	08d	08d	08d	15d	15d	15d	15d	15d	21d	21d	21d	21d	21d
D_0__Bacteria;D_1__Actinobacteria;D_2__Thermoleophilia;D_3__Solirubrobacterales;D_4__Solirubrobacteraceae	1.0	1.0	1.0	1.0	6.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Thermoleophilia;D_3__Solirubrobacterales;__	1.0	1.0	1.0	1.0	12.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
D_0__Bacteria;D_1__Actinobacteria;D_2__WCHB1-81;D_3__uncultured actinobacterium;D_4__uncultured actinobacterium	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0
D_0__Bacteria;D_1__Actinobacteria;__;__;__	1.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Bacteroidaceae	1.0	1.0	1.0	1.0	8.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Bacteroidetes BD2-2	1.0	1.0	12.5	25.75	56.0	1.0	1.0	1.0	1.0	19.0	1.0	1.0	5.0	12.5	18.0	1.0	1.0	1.0	3.5	67.0	1.0	1.0	1.0	2.25	61.0	1.0	1.0	1.0	1.0	1.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Marinifilaceae	1.0	1.0	1.0	19.5	49.0	1.0	1.0	1.0	8.5	13.0	1.0	1.0	1.0	1.5	24.0	1.0	1.0	1.0	5.0	39.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Marinilabiliaceae	1.0	1.0	1.0	8.25	49.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	8.0	50.0	1.0	1.0	1.0	1.0	22.0	1.0	1.0	1.0	1.0	10.0	1.0	1.0	1.0	1.0	1.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Porphyromonadaceae	1.0	1.0	1.0	8.25	12.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Prevotellaceae	1.0	1.0	1.0	3.25	31.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Prolixibacteraceae	1.0	1.0	1.0	10.0	18.0	1.0	1.0	1.0	1.75	10.0	1.0	1.0	1.0	10.75	28.0	1.0	1.0	3.0	19.5	91.0	1.0	1.0	1.0	1.0	13.0	1.0	1.0	1.0	1.0	1.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Rikenellaceae	1.0	1.0	1.0	1.0	11.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Tannerellaceae	1.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;__	1.0	1.0	8.5	22.75	58.0	1.0	1.0	2.5	5.75	48.0	1.0	1.0	1.0	1.0	8.0	1.0	1.0	1.0	1.0	61.0	1.0	1.0	1.0	1.0	8.0	1.0	1.0	1.0	1.0	1.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidetes VC2.1 Bac22;D_4__uncultured Bacteroidetes bacterium	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	1.0	11.0	1.0	1.0	1.0	1.0	20.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidetes VC2.1 Bac22;D_4__uncultured alpha proteobacterium	1.0	1.0	1.0	1.0	18.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidetes VC2.1 Bac22;D_4__uncultured organism	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	6.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidetes VC2.1 Bac22;__	1.0	1.0	1.0	5.5	19.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	8.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	14.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__37-13	1.0	4.0	9.5	28.5	117.0	1.0	1.0	1.0	2.25	21.0	1.0	1.0	2.5	7.0	17.0	1.0	1.0	1.0	10.5	82.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	8.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Chitinophagaceae	1.0	1.0	1.0	1.0	11.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	16.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Saprospiraceae	207.0	237.75	390.5	695.25	1117.0	72.0	107.25	129.0	220.5	441.0	2175.0	2721.75	2927.0	4121.75	5208.0	3000.0	4226.0	5054.0	6940.0	10824.0	2860.0	4622.75	5203.5	5732.5	6198.0	2786.0	3341.75	4153.0	4795.0	5725.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__uncultured	8.0	26.0	36.5	65.0	174.0	1.0	1.0	3.0	12.0	20.0	1.0	2.5	20.0	44.25	82.0	3.0	30.0	33.0	54.0	159.0	1.0	1.0	5.5	24.25	78.0	21.0	37.5	83.0	104.75	140.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;__	1.0	10.5	18.5	36.25	88.0	1.0	1.0	1.0	3.25	6.0	1.0	1.0	1.0	2.5	28.0	1.0	1.0	1.0	2.5	29.0	1.0	1.0	1.0	1.75	20.0	1.0	1.0	1.0	1.0	23.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales;D_4__Amoebophilaceae	1.0	47.0	76.5	193.5	957.0	10.0	28.75	98.0	167.75	276.0	57.0	225.25	420.5	795.75	1221.0	222.0	422.0	724.0	831.5	1155.0	208.0	320.5	474.5	661.0	1395.0	9.0	189.5	350.0	436.0	659.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales;D_4__Bernardetiaceae	1.0	18.5	32.5	68.0	97.0	1.0	4.5	10.0	21.5	64.0	290.0	432.75	600.0	868.25	1333.0	218.0	361.5	544.0	702.5	1554.0	1.0	5.75	13.5	20.25	1030.0	1.0	1.0	4.0	12.75	40.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales;D_4__Cyclobacteriaceae	87.0	120.0	197.0	299.5	439.0	7.0	23.75	52.5	69.5	102.0	14.0	38.25	49.5	112.0	222.0	14.0	38.5	76.0	98.0	167.0	29.0	48.5	77.5	104.25	325.0	117.0	198.75	342.0	566.25	659.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales;D_4__Flammeovirgaceae	1.0	58.5	67.5	88.0	363.0	28.0	54.5	99.5	153.75	298.0	910.0	1126.0	1942.0	2245.75	4866.0	50.0	146.0	303.0	412.0	607.0	1.0	109.5	174.5	354.75	1036.0	1.0	1.0	6.5	19.25	71.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales;D_4__Hymenobacteraceae	1.0	1.0	11.5	23.25	42.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales;D_4__Microscillaceae	1.0	1.0	5.0	14.75	27.0	1.0	1.0	1.0	1.0	21.0	1.0	11.75	29.0	57.0	165.0	1.0	1.0	1.0	12.5	21.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	14.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales;D_4__Spirosomaceae	1.0	1.0	1.0	2.25	23.0	1.0	1.0	1.0	1.0	7.0	1.0	1.0	1.0	1.0	9.0	1.0	1.0	1.0	1.0	15.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales;__	4.0	15.25	25.5	56.5	94.0	1.0	12.25	25.0	42.0	49.0	21.0	39.0	54.0	163.0	236.0	1.0	2.5	13.0	21.5	128.0	1.0	1.0	15.0	20.5	129.0	1.0	1.0	1.0	1.0	9.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Crocinitomicaceae	74.0	157.5	208.0	244.5	601.0	29.0	72.75	90.0	142.5	287.0	55.0	135.75	206.0	259.0	777.0	95.0	129.0	179.0	350.5	997.0	9.0	45.0	54.0	64.25	131.0	92.0	149.0	218.0	281.5	538.0
