	W	Reject null hypothesis
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Sedimenticolaceae	20	False
Bacteria;Proteobacteria;Gammaproteobacteria;KI89A_clade;KI89A_clade	20	False
Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriae;Acidobacteriae	20	False
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;NS9_marine_group	20	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidetes_VC2.1_Bac22;Bacteroidetes_VC2.1_Bac22	20	False
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;uncultured	20	False
Bacteria;Desulfobacterota;Desulfuromonadia;Sva1033;Sva1033	20	False
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermacoccaceae	20	False
Bacteria;Acidobacteriota;Acidobacteriae;Bryobacterales;Bryobacteraceae	19	False
Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae	19	False
Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae	19	False
Bacteria;Proteobacteria;Gammaproteobacteria;PLTA13;PLTA13	19	False
Bacteria;Dependentiae;Babeliae;Babeliales;Vermiphilaceae	19	False
Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae	19	False
Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Microbulbiferaceae	19	False
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Methylophilaceae	18	False
Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae	18	False
Bacteria;Actinobacteriota;Coriobacteriia;OPB41;OPB41	18	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Paludibacteraceae	18	False
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae	18	False
Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae	18	False
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae	18	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;uncultured	18	False
Bacteria;Fibrobacterota;Fibrobacteria;Fibrobacterales;Fibrobacteraceae	18	False
Bacteria;Proteobacteria;Gammaproteobacteria;MD2904-B13;MD2904-B13	17	False
Bacteria;Desulfobacterota;Desulfomonilia;Desulfomonilales;Desulfomonilaceae	17	False
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae	17	False
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Hahellaceae	17	False
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae	17	False
Bacteria;Proteobacteria;Alphaproteobacteria;Tistrellales;Geminicoccaceae	16	False
